name,url
DHARA DHEVI CAKE SHOP,https://www.wongnai.com/restaurants/dharadhevicakeshop-cm
Baan Piemsuk,https://www.wongnai.com/restaurants/cakebaanpiemsuk
Mooh Doughnuts,https://www.wongnai.com/restaurants/422068tD-mooh-doughnuts
Dongmadame,https://www.wongnai.com/restaurants/228981da-dongmadame
Asama Cafe,https://www.wongnai.com/restaurants/asamacafe
OB.B.b Cafe & Laundry,https://www.wongnai.com/restaurants/171979WT-ob-b-b-cafe-laundry
Pete Croissanterie,https://www.wongnai.com/restaurants/378307sU-pete-croissanterie
Fern Forest Cafe,https://www.wongnai.com/restaurants/24545cg-fern-forest-cafe
Saruda Finest Pastry,https://www.wongnai.com/restaurants/365335OC-saruda-finest-pastry
Chez Nous Artisan Baking Atelier(สันกำแพง),https://www.wongnai.com/restaurants/301075Ud-chez-nous-artisan-baking-atelier-%E0%B8%AA%E0%B8%B1%E0%B8%99%E0%B8%81%E0%B8%B3%E0%B9%81%E0%B8%9E%E0%B8%87-chiangmai
GROON,https://www.wongnai.com/restaurants/501989Gi-groon-%E0%B9%80%E0%B8%8A%E0%B8%B5%E0%B8%A2%E0%B8%87%E0%B9%83%E0%B8%AB%E0%B8%A1%E0%B9%88
Khagee,https://www.wongnai.com/restaurants/khagee
Yelloo,https://www.wongnai.com/restaurants/490243gb-yelloo-nimman
Forest Bake,https://www.wongnai.com/restaurants/248608dT-forest-bake
Cheevit Cheeva,https://www.wongnai.com/restaurants/cheevitcheeva
Claai Cafe'& Eatery คลายคาเฟ่ แอนด์ อีทเทอรี่,https://www.wongnai.com/restaurants/478951MA-claai-cafe-eatery-%E0%B8%84%E0%B8%A5%E0%B8%B2%E0%B8%A2%E0%B8%84%E0%B8%B2%E0%B9%80%E0%B8%9F%E0%B9%88-%E0%B9%81%E0%B8%AD%E0%B8%99%E0%B8%94%E0%B9%8C-%E0%B8%AD%E0%B8%B5%E0%B8%97%E0%B9%80%E0%B8%97%E0%B8%AD%E0%B8%A3%E0%B8%B5%E0%B9%88
Caramellow café,https://www.wongnai.com/restaurants/358476bn-caramellow-caf%C3%A9
Koff&things,https://www.wongnai.com/restaurants/1355451aT-koff-things
Memorize Brownie,https://www.wongnai.com/restaurants/332151mu-memorize-brownie-%E0%B8%99%E0%B8%B4%E0%B8%A1%E0%B8%A1%E0%B8%B2%E0%B8%99%E0%B9%80%E0%B8%AB%E0%B8%A1%E0%B8%B4%E0%B8%99%E0%B8%97%E0%B9%8C-%E0%B8%8B%E0%B8%AD%E0%B8%A2-12
Tomato House.cnx,https://www.wongnai.com/restaurants/1519058hn-tomato-house-cnx-%E0%B8%A3%E0%B8%A7%E0%B8%A1%E0%B9%82%E0%B8%8A%E0%B8%84
Charin Pie,https://www.wongnai.com/restaurants/15300Ga-charin-pie-%E0%B8%99%E0%B8%B4%E0%B8%A1%E0%B8%A1%E0%B8%B2%E0%B8%99%E0%B9%80%E0%B8%AB%E0%B8%A1%E0%B8%B4%E0%B8%99%E0%B8%97%E0%B8%A3%E0%B9%8C%E0%B8%8B%E0%B8%AD%E0%B8%A2-17
