name,rating,rating_amt,address,menu,open_hr,delivery_hr,price_scale,seat_amt,review,check_in,bookmarked,car_park,Wi-Fi,pet_allows,card_accept,delivery,for_kids,for_group
DHARA DHEVI CAKE SHOP (ดาราเทวี เค้กช็อป),4.3,559,"['Mueang_Chiang_Mai', 'Nong_Pa_Khrang', 'San_Kamphaeng']",['macaron'],10:00 - 18:00,10:00 - 18:00,3,40,"[['delicious'], ['good_atmosphere'], ['delicious'], ['attentive'], ['enjoyable', 'delicious', 'fresh', 'good_service'], ['worth'], ['delicious'], ['beautiful'], ['good_atmosphere'], ['lovely'], ['attentive'], ['lovely'], ['clean'], ['good_atmosphere', 'worth', 'good_service'], ['good_atmosphere'], ['nice_looking'], ['attentive'], ['attentive'], ['delicious'], ['good_atmosphere'], ['beautiful'], ['good_service'], ['fragrant'], ['delicious'], ['fragrant'], ['delicious', 'soft'], ['delicious'], ['delicious'], ['good_atmosphere'], ['attentive'], ['good_service'], ['lovely'], ['delicious'], ['delicious'], ['good_atmosphere'], ['lovely'], ['delicious'], ['affordable'], ['good_atmosphere'], ['good_service'], ['delicious'], ['fragrant'], ['soft'], ['delicious', 'fragrant'], ['delicious'], ['fragrant'], ['attentive'], ['delicious'], ['attentive'], ['attentive'], ['attentive'], ['delicious'], ['fragrant'], ['good_atmosphere'], ['delicious'], ['soft'], ['attentive'], ['fresh'], ['worth'], ['attentive'], ['delicious'], ['good_service'], ['good_service'], ['good_atmosphere']]",0,0,True,True,False,True,True,True,True
Baan Piemsuk (บ้านเปี่ยมสุข),4.3,307,['Charoenrat_Rd'],"['cake', 'pie', 'brownie', 'cookie', 'cheesecake']",09:30 - 18:30,09:30 - 18:00,2,40,"[['delicious'], ['delicious'], ['fresh'], ['good_quality'], ['delicious'], ['good_quality'], ['delicious'], ['fragrant'], ['worth'], ['soft', 'fragrant'], ['delicious'], ['good_quality'], ['delicious'], ['fragrant'], ['delicious', 'soft'], ['worth'], ['delicious'], ['good_atmosphere'], ['worth'], ['soft'], ['delicious'], ['worth'], ['delicious'], ['delicious'], ['delicious'], ['soft'], ['delicious'], ['fragrant'], ['fresh'], ['soft'], ['fresh'], ['not_tasty'], ['delicious'], ['good_atmosphere', 'beautiful'], ['worth'], ['worth'], ['delicious'], ['unlovely'], ['worth'], ['delicious'], ['worth'], ['delicious'], ['delicious'], ['delicious'], ['delicious'], ['delicious'], ['delicious', 'soft'], ['good_quality'], ['good_atmosphere'], ['warm'], ['fragrant'], ['delicious'], ['worth'], ['attentive'], ['soft'], ['worth'], ['worth'], ['good_atmosphere'], ['delicious'], ['fragrant'], ['soft', 'fragrant'], ['fresh'], ['delicious'], ['delicious'], ['delicious'], ['soft'], ['delicious'], ['good_atmosphere'], ['warm', 'beautiful'], ['worth'], ['worth'], ['fragrant'], ['lovely'], ['delicious'], ['delicious'], ['soft'], ['fragrant'], ['delicious'], ['delicious'], ['fresh'], ['delicious'], ['delicious'], ['delicious'], ['delicious'], ['soft'], ['fragrant'], ['delicious'], ['attentive'], ['soft'], ['worth'], ['soft'], ['fragrant'], ['attentive', 'worth'], ['delicious']]",0,0,True,True,False,False,True,True,True
Mooh Doughnuts (หมูโดนัท),4.3,96,"['Mueang_Chiang_Mai', 'Suthep', 'Nimmanhaemin']","['donut', 'cake']",07:30 - 15:00,07:30 - 15:00,1,10,"[['beautiful'], ['soft'], ['delicious'], ['delicious'], ['delicious'], ['delicious', 'soft', 'attentive', 'fragrant'], ['soft'], ['worth'], ['soft'], ['delicious'], ['beautiful'], ['soft'], ['fragrant'], ['delicious'], ['worth'], ['good_atmosphere', 'good_service'], ['delicious'], ['fragrant'], ['soft'], ['delicious'], ['delicious'], ['delicious'], ['fresh'], ['attentive'], ['delicious'], ['delicious'], ['fragrant'], ['attentive'], ['good_atmosphere'], ['lovely'], ['good_atmosphere', 'warm'], ['fragrant'], ['worth'], ['delicious'], ['delicious'], ['fragrant'], ['soft'], ['fragrant'], ['soft'], ['lovely'], ['lovely'], ['soft'], ['fresh', 'fragrant'], ['soft'], ['attentive'], ['good_atmosphere', 'beautiful'], ['fresh'], ['delicious'], ['delicious'], ['soft'], ['delicious'], ['delicious'], ['delicious'], ['delicious'], ['beautiful'], ['worth'], ['delicious'], ['worth'], ['attentive', 'beautiful'], ['delicious'], ['soft'], ['delicious'], ['worth'], ['soft'], ['delicious'], ['soft'], ['delicious'], ['delicious'], ['good_atmosphere'], ['fresh'], ['worth'], ['delicious', 'soft', 'attentive'], ['soft', 'fragrant'], ['fresh'], ['delicious'], ['attentive'], ['fresh'], ['fresh'], ['worth'], ['soft'], ['soft'], ['worth'], ['soft'], ['delicious'], ['worth'], ['worth'], ['good_atmosphere'], ['beautiful'], ['inexpensive'], ['good_quality'], ['delicious'], ['delicious'], ['attentive'], ['attentive'], ['fragrant'], ['delicious'], ['delicious'], ['good_atmosphere'], ['good_service'], ['attentive'], ['soft', 'fragrant'], ['delicious'], ['attentive'], ['delicious', 'fragrant'], ['good_service'], ['attentive'], ['soft'], ['delicious'], ['soft'], ['fragrant'], ['soft'], ['delicious'], ['soft'], ['fragrant'], ['soft'], ['fragrant'], ['attentive'], ['delicious'], ['delicious'], ['worth'], ['delicious'], ['worth'], ['soft'], ['soft'], ['attentive'], ['delicious']]",0,0,True,False,True,False,True,,
Dongmadame (ดงมาดาม),4.3,231,['Other'],['cake'],13:00 - 16:00,,3,40,"[['attentive'], ['delicious'], ['delicious'], ['lovely'], ['attentive'], ['worth'], ['good_atmosphere'], ['lovely'], ['attentive'], ['delicious'], ['inexpensive'], ['worth'], ['worth'], ['good_atmosphere'], ['attentive'], ['delicious'], ['soft'], ['attentive'], ['delicious'], ['delicious'], ['delicious', 'soft'], ['inexpensive'], ['worth', 'good_quality'], ['good_quality', 'inexpensive'], ['worth', 'beautiful', 'good_service'], ['delicious'], ['fresh'], ['soft'], ['delicious'], ['lovely'], ['delicious'], ['lovely'], ['beautiful'], ['fresh'], ['delicious'], ['fresh'], ['lovely'], ['fresh'], ['inexpensive'], ['lovely'], ['worth'], ['lovely'], ['delicious'], ['good_service'], ['delicious'], ['good_quality'], ['lovely'], ['soft'], ['delicious', 'soft'], ['fragrant'], ['delicious'], ['delicious'], ['attentive'], ['delicious'], ['inexpensive'], ['worth'], ['worth'], ['lovely'], ['lovely'], ['lovely'], ['good_service'], ['delicious'], ['beautiful'], ['lovely'], ['delicious', 'lovely'], ['adorable', 'inexpensive'], ['worth'], ['delicious'], ['worth'], ['good_atmosphere', 'lovely'], ['worth', 'good_quality'], ['inexpensive'], ['fragrant'], ['fresh'], ['soft'], ['soft'], ['fresh'], ['fragrant'], ['delicious'], ['not_recommend'], ['worth'], ['delicious'], ['soft'], ['delicious'], ['soft'], ['soft'], ['delicious'], ['delicious'], ['good_service'], ['good_atmosphere'], ['attentive'], ['worth'], ['worth'], ['lovely'], ['fragrant'], ['delicious'], ['inexpensive'], ['delicious'], ['lovely'], ['fragrant'], ['delicious'], ['fragrant'], ['fresh'], ['fresh'], ['attentive'], ['fragrant'], ['fragrant'], ['attentive'], ['delicious'], ['delicious'], ['beautiful'], ['beautiful'], ['lovely'], ['lovely'], ['lovely'], ['delicious'], ['fresh'], ['delicious'], ['delicious'], ['fragrant'], ['delicious'], ['good_quality'], ['worth'], ['inexpensive'], ['attentive'], ['attentive'], ['worth'], ['unlovely'], ['not_recommend'], ['delicious'], ['attentive'], ['delicious'], ['good_service'], ['worth'], ['worth'], ['beautiful'], ['worth'], ['delicious'], ['fragrant'], ['fragrant'], ['beautiful'], ['attentive'], ['beautiful'], ['lovely'], ['lovely'], ['attentive'], ['fresh'], ['not_fresh', 'fragrant'], ['worth'], ['attentive'], ['delicious'], ['delicious'], ['delicious'], ['delicious'], ['delicious'], ['delicious']]",73,2206,True,True,False,False,True,True,True
Asama Cafe (อสมา คาเฟ่),4.0,233,['Other'],"['scone', 'cake']",08:00 - 16:30,08:00 - 16:30,2,80,"[['delicious'], ['good_atmosphere'], ['fresh'], ['soft', 'fragrant'], ['worth'], ['beautiful'], ['good_atmosphere'], ['delicious'], ['good_atmosphere'], ['delicious'], ['soft'], ['delicious'], ['good_atmosphere'], ['lovely'], ['delicious'], ['good_quality'], ['delicious'], ['good_atmosphere'], ['good_service'], ['enjoyable'], ['attentive'], ['good_atmosphere'], ['good_atmosphere'], ['good_atmosphere'], ['worth'], ['worth'], ['lovely'], ['delicious'], ['attentive'], ['fragrant'], ['good_atmosphere'], ['fragrant'], ['good_atmosphere'], ['fresh'], ['worth'], ['unlovely'], ['good_atmosphere'], ['lovely'], ['good_service'], ['good_service'], ['tasty'], ['worth'], ['good_service'], ['good_atmosphere'], ['delicious'], ['delicious'], ['delicious'], ['worth'], ['good_atmosphere'], ['delicious'], ['attentive'], ['delicious'], ['beautiful'], ['fresh'], ['worth'], ['good_atmosphere'], ['delicious'], ['attentive', 'fragrant'], ['fragrant'], ['attentive'], ['lovely'], ['attentive'], ['fresh'], ['lovely'], ['fresh'], ['lovely'], ['fragrant'], ['fresh'], ['soft'], ['fragrant'], ['fresh'], ['enjoyable'], ['fragrant'], ['good_quality'], ['good_atmosphere'], ['good_atmosphere'], ['good_atmosphere'], ['enjoyable'], ['enjoyable', 'good_service'], ['worth'], ['good_service'], ['tasty'], ['attentive'], ['worth'], ['fragrant'], ['attentive'], ['good_service'], ['fragrant'], ['attentive'], ['fresh'], ['delicious'], ['fragrant'], ['good_quality'], ['lovely'], ['attentive'], ['lovely'], ['delicious'], ['good_atmosphere'], ['attentive'], ['attentive'], ['not_fragrant'], ['delicious'], ['worth'], ['good_atmosphere'], ['worth'], ['worth'], ['soft'], ['soft'], ['delicious'], ['delicious'], ['good_service'], ['worth'], ['good_atmosphere'], ['worth'], ['good_atmosphere'], ['good_atmosphere'], ['attentive'], ['not_recommend']]",0,0,True,False,False,False,True,True,True
OB.B.b Cafe & Laundry (โอบีบี คาเฟ่ แอนด์ ลอนดรี้),4.3,40,"['Chang_Phueak', 'Mueang_Chiang_Mai', 'Wiang_Bua_Rd']","['brownie', 'bun']",08:00 - 17:00,,2,40,"[['beautiful'], ['delicious'], ['enjoyable'], ['good_service'], ['beautiful'], ['not_fragrant'], ['fragrant'], ['delicious'], ['fresh'], ['soft'], ['not_fragrant'], ['enjoyable'], ['good_atmosphere'], ['warm', 'beautiful'], ['delicious'], ['good_manner', 'good_service'], ['warm'], ['good_atmosphere'], ['good_atmosphere', 'lovely'], ['warm'], ['lovely'], ['good_service'], ['good_service'], ['tasty', 'good_service'], ['fresh'], ['good_atmosphere'], ['delicious'], ['lovely'], ['fresh'], ['fresh'], ['lovely'], ['unlovely'], ['delicious'], ['beautiful'], ['good_atmosphere'], ['lovely'], ['delicious'], ['delicious'], ['beautiful', 'good_service'], ['good_atmosphere'], ['attentive'], ['delicious'], ['inexpensive'], ['delicious'], ['delicious'], ['attentive'], ['good_manner', 'good_service'], ['delicious'], ['beautiful'], ['not_recommend'], ['beautiful'], ['tasty', 'fresh'], ['enjoyable'], ['good_atmosphere', 'beautiful', 'lovely'], ['good_service'], ['delicious'], ['delicious', 'soft', 'attentive'], ['fragrant'], ['soft', 'fragrant'], ['good_atmosphere', 'not_fragrant', 'attentive', 'worth'], ['beautiful'], ['warm'], ['beautiful'], ['beautiful'], ['delicious'], ['worth'], ['delicious'], ['lovely'], ['delicious'], ['delicious'], ['delicious'], ['beautiful'], ['good_atmosphere'], ['good_service'], ['good_atmosphere'], ['delicious', 'soft', 'fragrant'], ['soft'], ['fresh'], ['delicious'], ['delicious', 'soft', 'fragrant'], ['delicious'], ['delicious'], ['fragrant'], ['fragrant'], ['fragrant'], ['fragrant'], ['delicious'], ['worth'], ['enjoyable'], ['good_service'], ['good_service'], ['worth'], ['delicious'], ['warm'], ['good_manner', 'good_service'], ['delicious'], ['delicious'], ['delicious'], ['fresh'], ['good_service'], ['beautiful'], ['good_service'], ['good_atmosphere', 'enjoyable'], ['delicious'], ['fragrant'], ['delicious'], ['fragrant'], ['fragrant'], ['good_atmosphere'], ['tasty'], ['beautiful'], ['good_service'], ['good_atmosphere'], ['delicious', 'fragrant'], ['delicious', 'fragrant'], ['lovely'], ['lovely'], ['enjoyable'], ['lovely'], ['good_atmosphere'], ['good_atmosphere'], ['not_recommend'], ['worth'], ['good_atmosphere'], ['good_atmosphere'], ['lovely'], ['good_atmosphere'], ['lovely'], ['enjoyable'], ['good_atmosphere', 'lovely'], ['soft'], ['fresh'], ['attentive'], ['attentive'], ['soft'], ['enjoyable'], ['good_service'], ['soft'], ['soft'], ['attentive'], ['fresh'], ['fragrant'], ['soft'], ['attentive'], ['delicious'], ['fragrant'], ['attentive'], ['soft'], ['lovely'], ['enjoyable'], ['fresh'], ['good_service'], ['worth'], ['good_service'], ['good_service'], ['lovely'], ['enjoyable'], ['good_service'], ['good_service'], ['good_atmosphere', 'lovely'], ['enjoyable'], ['good_atmosphere'], ['beautiful'], ['good_service'], ['warm'], ['beautiful'], ['enjoyable'], ['soft'], ['attentive', 'good_service'], ['delicious'], ['soft'], ['fragrant'], ['good_atmosphere', 'attentive'], ['good_service'], ['delicious'], ['attentive'], ['attentive'], ['attentive'], ['good_atmosphere'], ['good_atmosphere', 'lovely'], ['good_service'], ['good_atmosphere', 'lovely', 'good_service'], ['worth'], ['good_service'], ['good_atmosphere'], ['good_service'], ['fresh'], ['soft'], ['lovely'], ['good_service'], ['good_service'], ['good_service'], ['affordable'], ['good_service'], ['good_quality'], ['soft'], ['fresh'], ['lovely', 'fragrant'], ['delicious'], ['fragrant'], ['soft'], ['fragrant'], ['delicious'], ['delicious'], ['attentive'], ['lovely'], ['fragrant'], ['delicious'], ['good_atmosphere'], ['fresh', 'good_service'], ['worth'], ['delicious'], ['enjoyable'], ['good_quality'], ['good_service'], ['nice_looking'], ['inexpensive'], ['beautiful'], ['good_atmosphere'], ['delicious'], ['delicious'], ['delicious'], ['good_atmosphere'], ['delicious']]",25,401,True,True,False,False,True,True,
Pete Croissanterie,4.4,46,['San_Sai'],['No bakery related menu'],11:30 - 16:00,,2,ไม่มีที่นั่ง/จัดส่งเท่านั้น,"[['delicious'], ['fragrant'], ['soft'], ['worth'], ['delicious'], ['soft'], ['delicious'], ['soft'], ['fragrant'], ['worth'], ['fragrant'], ['soft'], ['attentive'], ['attentive'], ['good_quality'], ['worth'], ['delicious'], ['worth'], ['delicious'], ['delicious'], ['unlovely'], ['good_service'], ['unlovely'], ['delicious'], ['worth'], ['worth'], ['delicious'], ['unlovely'], ['good_quality'], ['delicious'], ['enjoyable'], ['good_service'], ['inexpensive'], ['delicious'], ['delicious'], ['fresh'], ['good_service'], ['worth'], ['delicious'], ['good_service'], ['fresh'], ['attentive'], ['delicious'], ['inexpensive'], ['delicious'], ['attentive'], ['lovely'], ['lovely'], ['lovely'], ['fresh'], ['attentive'], ['worth'], ['fresh'], ['unlovely'], ['delicious'], ['delicious'], ['delicious'], ['good_service'], ['delicious'], ['fragrant'], ['fragrant'], ['delicious'], ['lovely'], ['lovely'], ['fragrant'], ['delicious'], ['attentive'], ['delicious'], ['delicious', 'attentive'], ['delicious'], ['unlovely'], ['attentive'], ['delicious'], ['attentive'], ['attentive'], ['attentive'], ['fragrant'], ['attentive'], ['delicious', 'attentive'], ['delicious'], ['soft'], ['worth', 'delicious', 'fragrant'], ['worth'], ['delicious'], ['attentive'], ['delicious'], ['fragrant'], ['fragrant'], ['attentive'], ['delicious'], ['delicious'], ['delicious', 'fragrant'], ['fresh'], ['attentive'], ['fragrant'], ['delicious'], ['lovely'], ['soft'], ['fragrant'], ['attentive'], ['delicious'], ['good_quality'], ['soft'], ['fragrant'], ['delicious'], ['delicious'], ['attentive'], ['delicious'], ['delicious', 'fragrant'], ['soft', 'fragrant'], ['worth'], ['fragrant'], ['soft'], ['fragrant'], ['attentive'], ['worth'], ['attentive'], ['delicious', 'soft'], ['delicious'], ['delicious'], ['delicious', 'inexpensive'], ['fragrant']]",9,257,True,,False,False,,,
Fern Forest Cafe (เฟิร์น ฟอเรส คาเฟ่),4.1,244,['Other'],['No bakery related menu'],08:30 - 17:00,09:00 - 17:00,2,150,"[['delicious'], ['beautiful'], ['worth'], ['delicious'], ['lovely'], ['delicious'], ['delicious'], ['attentive'], ['good_atmosphere'], ['attentive'], ['good_atmosphere'], ['worth'], ['unlovely'], ['tough'], ['good_service'], ['good_atmosphere'], ['worth'], ['good_atmosphere'], ['delicious'], ['soft'], ['lovely'], ['lovely'], ['lovely'], ['lovely'], ['fresh'], ['fragrant'], ['good_atmosphere'], ['fresh'], ['worth'], ['beautiful'], ['attentive'], ['fresh'], ['lovely'], ['fragrant'], ['lovely'], ['fragrant'], ['lovely'], ['soft'], ['soft'], ['lovely'], ['lovely'], ['attentive'], ['fragrant'], ['fresh'], ['fresh'], ['unlovely'], ['fresh'], ['fragrant'], ['good_quality'], ['good_quality'], ['good_atmosphere', 'attentive', 'inexpensive'], ['lovely'], ['enjoyable'], ['enjoyable', 'good_service'], ['worth'], ['good_service'], ['attentive'], ['good_atmosphere'], ['good_atmosphere'], ['delicious'], ['adorable'], ['beautiful'], ['good_atmosphere'], ['delicious'], ['delicious'], ['worth'], ['fresh'], ['lovely'], ['enjoyable'], ['good_manner', 'good_service'], ['good_atmosphere'], ['delicious'], ['worth'], ['delicious'], ['delicious', 'fragrant'], ['good_atmosphere'], ['beautiful'], ['worth'], ['worth'], ['worth'], ['delicious'], ['delicious'], ['good_atmosphere'], ['good_atmosphere', 'warm'], ['attentive'], ['delicious'], ['fresh', 'worth'], ['attentive', 'worth'], ['lovely'], ['delicious', 'soft'], ['delicious'], ['good_service'], ['lovely'], ['delicious'], ['good_manner', 'good_service'], ['delicious'], ['delicious'], ['good_atmosphere'], ['fragrant'], ['fresh'], ['attentive'], ['delicious'], ['clean'], ['good_atmosphere'], ['delicious'], ['good_quality'], ['good_manner', 'good_service'], ['delicious'], ['delicious'], ['good_atmosphere'], ['lovely'], ['good_atmosphere', 'good_service', 'inexpensive'], ['attentive'], ['fresh'], ['good_atmosphere'], ['fresh'], ['inexpensive'], ['worth'], ['delicious'], ['attentive'], ['worth'], ['good_atmosphere'], ['fresh'], ['good_atmosphere'], ['good_atmosphere'], ['enjoyable', 'beautiful'], ['delicious'], ['good_service'], ['good_atmosphere'], ['delicious'], ['delicious']]",0,0,True,True,False,True,True,True,True
Saruda Finest Pastry,4.1,85,"['Mueang_Chiang_Mai', 'Nimmanhaemin']",['cake'],10:00 - 21:00,,3,40,"[['delicious'], ['beautiful'], ['delicious'], ['attentive'], ['attentive'], ['attentive'], ['delicious'], ['fresh'], ['attentive'], ['beautiful'], ['delicious'], ['delicious'], ['lovely'], ['delicious'], ['fragrant'], ['delicious', 'fragrant'], ['delicious'], ['delicious'], ['attentive'], ['good_atmosphere'], ['good_atmosphere'], ['delicious'], ['worth'], ['attentive'], ['fresh'], ['fresh'], ['delicious'], ['good_quality'], ['delicious'], ['delicious'], ['lovely'], ['lovely'], ['lovely'], ['soft'], ['fresh'], ['soft'], ['soft'], ['soft'], ['fragrant'], ['fresh'], ['fragrant'], ['fresh'], ['fragrant'], ['good_quality'], ['good_quality'], ['inexpensive'], ['good_atmosphere'], ['warm'], ['enjoyable'], ['good_service'], ['worth'], ['enjoyable'], ['good_service'], ['attentive'], ['lovely'], ['worth'], ['good_quality'], ['beautiful'], ['good_atmosphere'], ['delicious'], ['soft'], ['fresh'], ['lovely'], ['fresh'], ['warm'], ['good_atmosphere'], ['good_atmosphere'], ['good_atmosphere'], ['good_service'], ['worth'], ['good_service'], ['lovely'], ['good_quality'], ['delicious'], ['delicious'], ['delicious'], ['attentive', 'lovely'], ['worth'], ['lovely'], ['attentive'], ['fresh'], ['fresh'], ['worth'], ['attentive'], ['attentive', 'lovely'], ['worth'], ['attentive'], ['delicious'], ['good_atmosphere'], ['delicious'], ['lovely'], ['lovely'], ['delicious'], ['delicious'], ['beautiful'], ['good_atmosphere'], ['beautiful'], ['delicious'], ['beautiful'], ['good_atmosphere', 'warm'], ['delicious'], ['lovely'], ['delicious'], ['fragrant'], ['fragrant'], ['attentive'], ['attentive'], ['good_quality'], ['attentive'], ['beautiful'], ['lovely'], ['delicious'], ['good_manner', 'good_service'], ['lovely'], ['good_service'], ['attentive'], ['fresh'], ['attentive'], ['fresh'], ['attentive'], ['unlovely'], ['soft'], ['fragrant'], ['fresh'], ['lovely'], ['fragrant'], ['fragrant'], ['inexpensive'], ['fresh'], ['delicious'], ['lovely'], ['delicious'], ['fresh'], ['delicious'], ['delicious'], ['fresh'], ['fresh'], ['delicious'], ['lovely'], ['delicious'], ['worth'], ['fragrant'], ['delicious'], ['delicious'], ['fragrant'], ['beautiful'], ['lovely'], ['attentive'], ['worth'], ['delicious'], ['worth'], ['attentive'], ['fresh'], ['delicious'], ['attentive'], ['worth'], ['clean'], ['delicious'], ['lovely'], ['lovely'], ['delicious'], ['good_atmosphere'], ['delicious']]",39,595,True,True,False,True,,True,True
Chez Nous Artisan Baking Atelier(สันกำแพง) (ร้านเชนู สันกำแพง),4.2,108,"['San_Kamphaeng', 'San_Klang']","['roll', 'croissant']",09:00 - 17:00,09:00 - 17:00,2,10,"[['fragrant'], ['attentive'], ['fragrant'], ['warm'], ['delicious'], ['soft'], ['fragrant'], ['beautiful'], ['beautiful'], ['delicious'], ['delicious'], ['good_quality']]",0,0,True,True,False,False,True,True,True
