name,rating,rating_amt,open_hr,delivery_hr,price_scale,seat_amt,check_in,bookmarked,car_park,wi_fi,pet_allows,card_accept,delivery,for_kids,for_group,chang_khlan,chang_moi,chang_phueak,chom_thong,fa_ham,fang,hang_dong,huai_sai,huai_kaew,mae_hia,mae_rim,mae_taeng,mae_on,mueang_chiang_mai,nong_hoi,nong_pa_khrang,pa_daet,san_kamphaeng,san_klang,san_sai,saraphi,sri_phum,suthep,tha_sala,tha_wang_tan,ton_pao,chiang_mai_business_park,nimmanhaemin,san_pa_tong,charoenrat_rd,wiang_bua_rd,ratchaphruek_rd,prapokkloa_rd,rajavithi_rd,chotana_rd,sirimangkalachan_rd,bread,croissant,baguette,pastry,cake,cupcake,muffin,donut,cookie,brownie,pie,pretzel,scone,roll,bun,danish,tart,macaron,cinnamon_roll,cheesecake,biscuit,pain_au_chocolat,pita_bread,quiche,brioche,pita,delicious,fresh,fragrant,soft,inexpensive,good_atmosphere,good_service,affordable,good_quality,good_manner,warm,tasty,authentic,enjoyable,clean,attentive,lovely,beautiful,adorable,worth,recommended,reasonable_price,nice_looking,not_tasty,not_fresh,not_fragrant,tough,expensive,terrible_atmosphere,bad_service,bad_quality,dirty,inattentive,unlovely,ugly,not_cute,not_worth,not_recommend
DHARA DHEVI CAKE SHOP (ดาราเทวี เค้กช็อป),4.3,559,10:00 - 18:00,10:00 - 18:00,3,40,0,0,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0.577350269,0,0.577350269,0,0.577350269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.711555592,0.074900589,0.224701766,0.112350883,0,0.374502943,0.26215206,0.037450294,0,0,0,0,0,0.037450294,0.037450294,0.411953237,0.149801177,0.074900589,0,0.112350883,0,0,0.037450294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Baan Piemsuk (บ้านเปี่ยมสุข),4.3,307,09:30 - 18:30,09:30 - 18:00,2,40,0,0,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.447213595,0,0,0,0.447213595,0.447213595,0.447213595,0,0,0,0,0,0,0,0,0.447213595,0,0,0,0,0,0,0.840304986,0.110566446,0.24324618,0.287472758,0,0.110566446,0,0,0.088453156,0,0.044226578,0,0,0,0,0.066339867,0.022113289,0.044226578,0,0.331699337,0,0,0,0.022113289,0,0,0,0,0,0,0,0,0,0.022113289,0,0,0,0
Mooh Doughnuts (หมูโดนัท),4.3,96,07:30 - 15:00,07:30 - 15:00,1,10,0,0,TRUE,FALSE,TRUE,FALSE,TRUE,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.577350269,0,0,0,0,0,0,0,0,0.577350269,0,0,0,0,0.577350269,0,0,0,0,0,0,0,0,0,0,0,0,0.707106781,0,0,0.707106781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.729934977,0.124623045,0.267049382,0.480688888,0.017803292,0.124623045,0.053409876,0,0.017803292,0,0.017803292,0,0,0,0,0.24924609,0.053409876,0.106819753,0,0.231442798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dongmadame (ดงมาดาม),4.3,231,13:00 - 16:00,,3,40,73,2206,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.729232659,0.16958899,0.203506788,0.16958899,0.152630091,0.067835596,0.084794495,0,0.084794495,0,0,0,0,0,0,0.254383486,0.35613688,0.135671192,0.016958899,0.339177981,0,0,0,0,0.016958899,0,0,0,0,0,0,0,0,0.016958899,0,0,0,0.033917798
Asama Cafe (อสมา คาเฟ่),4,233,08:00 - 16:30,08:00 - 16:30,2,80,0,0,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.707106781,0,0,0,0,0,0,0,0.707106781,0,0,0,0,0,0,0,0,0,0,0,0,0,0.457643553,0.203397134,0.27967106,0.127123209,0,0.55934212,0.203397134,0,0.076273925,0,0,0.050849284,0,0.101698567,0,0.330520344,0.203397134,0.050849284,0,0.355944985,0,0,0,0,0,0.025424642,0,0,0,0,0,0,0,0.025424642,0,0,0,0.025424642
OB.B.b Cafe & Laundry (โอบีบี คาเฟ่ แอนด์ ลอนดรี้),4.3,40,08:00 - 17:00,,2,40,25,401,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,,0,0,0.577350269,0,0,0,0,0,0,0,0,0,0,0.577350269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.577350269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.707106781,0,0,0,0,0.707106781,0,0,0,0,0,0,0,0,0,0,0,0.563454649,0.166475237,0.268921537,0.217698387,0.025611575,0.371367837,0.435396774,0.012805787,0.025611575,0.038417362,0.076834725,0.038417362,0,0.166475237,0,0.192086812,0.268921537,0.217698387,0,0.1024463,0,0,0.012805787,0,0,0.038417362,0,0,0,0,0,0,0,0.012805787,0,0,0,0.025611575
Pete Croissanterie,4.4,46,11:30 - 16:00,,2,0,9,257,TRUE,,FALSE,FALSE,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.780054924,0.092863681,0.35288199,0.185727363,0.055718209,0,0.092863681,0,0.055718209,0,0,0,0,0.018572736,0,0.371454726,0.111436418,0,0,0.222872835,0,0,0,0,0,0,0,0,0,0,0,0,0,0.092863681,0,0,0,0
Fern Forest Cafe (เฟิร์น ฟอเรส คาเฟ่),4.1,244,08:30 - 17:00,09:00 - 17:00,2,150,0,0,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.586264274,0.2605619,0.151994441,0.086853967,0.065140475,0.477696816,0.195421425,0,0.065140475,0.065140475,0.021713492,0,0,0.086853967,0.021713492,0.238848408,0.325702375,0.108567458,0.021713492,0.303988883,0,0,0,0,0,0,0.021713492,0,0,0,0,0,0,0.043426983,0,0,0,0
Saruda Finest Pastry,4.1,85,10:00 - 21:00,,3,40,39,595,TRUE,TRUE,FALSE,TRUE,,TRUE,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0.707106781,0,0,0,0,0,0,0,0,0,0,0,0,0,0.707106781,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.668831677,0.316815005,0.211210003,0.105605002,0.035201667,0.19360917,0.105605002,0,0.105605002,0.017600834,0.052802501,0,0,0.035201667,0.017600834,0.369617505,0.369617505,0.140806669,0,0.19360917,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017600834,0,0,0,0
Chez Nous Artisan Baking Atelier(สันกำแพง) (ร้านเชนู สันกำแพง),4.2,108,09:00 - 17:00,09:00 - 17:00,2,10,0,0,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.707106781,0.707106781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.707106781,0,0,0,0,0,0,0,0,0,0,0,0.707106781,0,0,0,0,0,0,0,0,0,0,0,0,0.588348405,0,0.588348405,0.196116135,0,0,0,0,0.196116135,0,0.196116135,0,0,0,0,0.196116135,0,0.39223227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
