name,rating,rating_amt,address,menu,open_hr,delivery_hr,price_scale,seat_amt,review,check_in,bookmarked,car_park,Wi-Fi,pet_allows,card_accept,delivery,for_kids,for_group
DHARA DHEVI CAKE SHOP (ดาราเทวี เค้กช็อป),4.3,559,"51/4 Moo 1, เชียงใหม่ - สันกำแพง หนองป่าครั่ง เมืองเชียงใหม่ เชียงใหม่ เชียงใหม่ (ในโรงแรมดาราเทวีเชียงใหม่)","['Chocolate Uganda', 'Coconut', 'Lime Yoghurt', 'Orange Blossom', 'Macaron Bag', 'Mixed Berry and Champagne']",10:00 - 18:00,10:00 - 18:00,3,40,"['attentive', 'delicious', 'good atmosphere', 'soft', 'enjoyable', 'affordable', 'fresh', 'fragrant', 'nice-looking', 'value for money', 'beautiful', 'good service', 'lovely', 'clean']",0,0,True,True,False,True,True,True,True
Baan Piemsuk (บ้านเปี่ยมสุข),4.3,307,167 ถนน เจริญราษฎร์ เชียงใหม่ (อยู่ตรงข้ามกับบ้านอรทัยหอมทองสามารถที่จอดรถได้ที่วัดซิกส์),"['เค้กมะพร้าวอ่อน', 'Coconut Cream Pie', 'พายมะม่วง', 'บราวนี่ชีสเค้ก', 'พายมะพร้าวอ่อน', 'เค้กพายมะพร้าว', 'กาเเฟ', 'เครปเค้ก', 'blueberry cheesecake', 'บานอฟฟี่', 'Coconut cookies', 'Chocolate chips cookies (box)', 'Bluberry cheese pie (box)', 'Oatmeal cookies (box)', 'Strawberry cheese pie (box)']",09:30 - 18:30,09:30 - 18:00,2,40,"['attentive', 'good quality', 'delicious', 'soft', 'ugly', 'not tasty', 'fresh', 'warm', 'fragrant', 'value for money', 'beautiful', 'lovely']",0,0,True,True,False,False,True,True,True
Mooh Doughnuts (หมูโดนัท),4.3,96,"25/8 , นิมมานเหมินทร์ซอย15 สุเทพ เมืองเชียงใหม่ เชียงใหม่ เชียงใหม่ (นิมมานซอย15 สุดซอยเลี้ยวขวาจะเจอร้านเลย อยู่ติดกับผัดไทยสายน้ำผึ้ง)","['โดนัท Strawberry Short Cake', 'โดนัทครีมบรูเล่', 'Banana Nutella Cream\nโดนัทรสช็อคโกแลตนูเทลล่า พร้อมกล้วยหอม อัลมอนด์ และครีมสด', 'Cream Brulee\nเมนูSignature ของร้าน โดนัทมีครีมด้านในข้างบนเผาจนเป็นคาราเมล ข้างบนจะกรอบๆหวานน้อย', 'เลมอนอัลมอนด์ครัมเบิล', 'สตอเบอรี่ครัวซองค์', 'strawberry shortcake\nแยมมิกซเบอรี่โฮมเมดพร้อมสตอเบอรี่สดและครีมสด เมนูขายดีประจำร้าน❤️', 'โดนัท สตอร์วเบอรี่', 'โดนัทCreame Brulee', 'Doughnut Waffle\nแป้งโดนัทเอาไปทำเป็นวาฟเฟิล เคลือบน้ำตาลนิดๆหอมหวานน้อยค่ะ', 'Peach Tea (Iced)', 'Thai Style Iced Coffee ( เอสเย็น)', 'Latte (Hot)', 'Latte (Iced)', 'ส้อม-มีด']",07:30 - 15:00,07:30 - 15:00,1,10,"['attentive', 'delicious', 'soft', 'worth it', 'fresh', 'warm', 'fragrant', 'beautiful', 'value for money', 'good service', 'lovely']",0,0,True,False,True,False,True,,
Dongmadame (ดงมาดาม),4.3,231,226/37 ซอย 12 บ้านใหม่หลังมอ เชียงใหม่ (เข้าซอยหลัง มช.ตรงร้าน Volcano ขับมาเรื่อยๆตามทาง จนเจอถนนหลังมอ ซอย 12 ซ้ายมือ ร้านอยู่หัวมุม),"['Crème Brulee', 'ข้าวหมูอบโรสแมรี่', 'หมูอบโรสแมรี่', 'ชูครีม', 'ซี่โครงหมูอบโรสแมรี่', 'Cheese Cake', 'Pork Steak', 'มาดามสปาเกตตี้', 'สเต๊กไก่', 'สปาเก็ตตี้ดงมาดาม 139฿', 'ชูครีม', 'สเต๊กไก่', 'สลัดผัก', 'ข้าวกะเพราเนื้อ', 'สลัดเบคอน']",13:00 - 16:00,,3,40,"['attentive', 'adorable', 'delicious', 'soft', 'not fresh', 'worth it', 'ugly', 'fresh', 'fragrant', 'value for money', 'beautiful', 'good service', 'not reasonable price', 'lovely']",73,2206,True,True,False,False,True,True,True
Asama Cafe (อสมา คาเฟ่),4.0,233,ถนนคันคลองชลประทาน หมู่บ้านเชียงใหม่เลคแลนด์ เชียงใหม่ (อยู่ในร้านอาหารครัวย่าหมู่บ้านเชียงใหม่เลคแลนด์),"['Piccolo Latte', 'Cocaine\nลาเต้ร้อนใส่น้ำตาลทรายแดง โรยผิวส้ม', 'Espresso Panna Cotta อร่อยสุดๆ ต้องลอง!!', 'Espresso', 'Almond Affogato', 'Matcha latte', 'Banoffee', 'Berry Crumble', 'Bacon & Cheese Scones', 'Cafe Mocha', 'Guatemala Huehuetrnango 200 grams', 'Thailand Dark Roast', 'Fat kid Sandwich', 'Chocalate Cake', 'Chocolate Cake']",08:00 - 16:30,08:00 - 16:30,2,80,"['attentive', 'good quality', 'delicious', 'good atmosphere', 'soft', 'enjoyable', 'ugly', 'not fragrant', 'fresh', 'tasty', 'fragrant', 'value for money', 'beautiful', 'good service', 'not reasonable price', 'lovely']",0,0,True,False,False,False,True,True,True
OB.B.b Cafe & Laundry (โอบีบี คาเฟ่ แอนด์ ลอนดรี้),4.3,40,"6, ถนน เวียงบัว ช้างเผือก เมืองเชียงใหม่ เชียงใหม่ เชียงใหม่ (ตรงข้ามเวียงบัวแมนชั่น)","['ชาเขียวเย็น', 'Brownie', 'Brownie', 'ชาเขียวเย็น', 'เอสเพรสโซ่เย็น', 'Triple Cheese Garlic Bun', 'Sugar Cinnamon']",08:00 - 17:00,,2,40,"['good atmosphere', 'ugly', 'warm', 'fragrant', 'nice-looking', 'value for money', 'attentive', 'not fragrant', 'not reasonable price', 'lovely', 'soft', 'enjoyable', 'excellent service', 'fresh', 'affordable', 'delicious', 'worth it', 'tasty', 'beautiful', 'good service']",25,401,True,True,False,False,True,True,
Pete Croissanterie,4.4,46,"Soi Muban Fifth Avenue Home Office Mi Chok-Chiang Mai, Nong Chom, San Sai, Chiang Mai, 50210, Thailand เชียงใหม่ (Delivery/รับเองในหมู่บ้านเศรษฐสิริ สันทราย)","['Plain', 'Almond', 'ham cheese', 'Crispy bacon', 'Dirty', 'Sausage Cheese', 'Maccalamel', 'Sausage', 'chocolate', 'Plain-Almond']",11:30 - 16:00,,2,ไม่มีที่นั่ง/จัดส่งเท่านั้น,"['attentive', 'delicious', 'soft', 'worth it', 'enjoyable', 'ugly', 'fresh', 'fragrant', 'value for money', 'lovely']",9,257,True,,False,False,,,
Fern Forest Cafe (เฟิร์น ฟอเรส คาเฟ่),4.1,244,54/1 ถนน สิงหราช เชียงใหม่ (ร้านอยู่ติดถนนใหญ่ ตรงข้ามสยามทีวีเก่า ( หากเริ่มตั้งต้นออกมาจากวัดพระสิงห์ ให้เลี้ยงซ้ายผ่านสี่แยก ผ่านวัดผ่าบ่อและโรงเรียนหอพระ ตรงมาเลื่อยๆผ่านหน้าวัดดับภัย ข้ามสี่แยกวัดดับภัยร้านอยู่ขวามือติดถนนใหญ่)),,08:30 - 17:00,09:00 - 17:00,2,150,"['attentive', 'adorable', 'delicious', 'good atmosphere', 'soft', 'worth it', 'enjoyable', 'ugly', 'excellent service', 'fresh', 'clean', 'warm', 'fragrant', 'beautiful', 'value for money', 'good service', 'lovely', 'tough']",0,0,True,True,False,True,True,True,True
Saruda Finest Pastry,4.1,85,12 นิมมานเหมินท์ ซอย 3 อ. เมือง เชียงใหม่ (ถ.นิมมานเหมินท์ ซ.3 บริเวณกลางซอย ถ้ามาจากถ.นิมมานเหมินท์ ให้เลี้ยวเข้าถ.นิมมานเหมินท์ ซ.3 แล้วตรงมาประมาณ 150 ม. จะเห็นร้านอยู่ทางขวามือ ติดร้านเทนโกกุ),"['Orange Bliss', 'อัญชัญมะนาว', 'Mr. Autumn', 'Violetta', 'Quasar', 'Carrot Cake', 'Anastasia', 'Saruda52', 'Mango Passion', 'ชอคโกแลตเย็น', 'Espresso(Hot)', 'Americano(Hot)', 'Cappuccino(Hot)', 'Latte(Hot)', 'Mocha(Hot)']",10:00 - 21:00,,3,40,"['attentive', 'good quality', 'delicious', 'soft', 'good atmosphere', 'worth it', 'enjoyable', 'excellent service', 'ugly', 'fresh', 'warm', 'fragrant', 'beautiful', 'value for money', 'good service', 'lovely', 'clean']",39,595,True,True,False,True,,True,True
Chez Nous Artisan Baking Atelier(สันกำแพง) (ร้านเชนู สันกำแพง),4.2,108,"118/5 , ม.3 สันกลาง สันกำแพง เชียงใหม่ เชียงใหม่ (Chez nous (สาขาสันกำแพง))","['ครัวซองต์ออริจินัล French Butter Croissant\nกรุณาโทรเช็คกับทางร้านก่อนสั่ง', 'ครัวซองเมคแคดเดเมีย Macadamia Croissant\nกรุณาโทรเช็คกับทางร้านก่อนสั่ง', 'ครัวซองดาร์คชอคโกแลต', 'ลาเต้ร้อน Latte', 'ครัวซองดาร์คชอคโกแลต Dark chocolate croissant\nกรุณาโทรเช็คกับทางร้านก่อนสั่ง', 'Black orange', 'Kiss of Chiangmai Mai’s Lady(Hokkaido milk)', 'ครัวซองต์', 'Espresso Affogato', 'ครัวซองลาวานมสด Milk Lava Croissant\nกรุณาโทรเช็คกับทางร้านก่อนสั่ง', 'ครัวซองต์ออริจินัล French Butter Croissant\nกรุณาโทรเช็คกับทางร้านก่อนสั่ง', 'ครัวซองเมคแคดเดเมีย Macadamia Croissant\nกรุณาโทรเช็คกับทางร้านก่อนสั่ง', 'Sommanut\nเมอแรงค์แบบฉบับไทยโบราณ หวานอ่อน กรอบ หอมหวานมะพร้าวคั่ว', 'Timber BLT', 'Timber shrimp roll']",09:00 - 17:00,09:00 - 17:00,2,10,"['attentive', 'delicious', 'soft', 'warm', 'fragrant', 'beautiful']",0,0,True,True,False,False,True,True,True
