name,url
Rich Coffee House,/restaurants/35629yT-rich-coffee-house?_st=cD0wO2I9MzU2Mjk7YWQ9dHJ1ZTt0PTE2ODUxOTM3MjE4NDI7cmk9MVg3YWtLdmRIcENKbXB2bzNNd0F4aXlxd0FsUW1PO2k9MVg3MERlaERsb2ZpYTVpMTIxRXN0T0Q4dGNMNXZkO3dyZWY9c3I7
PotbellyB Burger,/restaurants/1810749BI-potbellyb-burger?_st=cD0yMDtiPTE4MTA3NDk7YWQ9dHJ1ZTt0PTE2ODUxOTM3MjE4OTI7cmk9MVg3YWtLdmRIYW9UN3A4OEpJUVZ6amRPYlVGUzl3O2k9MVg3MERlaERsb2ZpYTVpMTIxRXN0T0Q4dGNMNXZkO3dyZWY9c3I7
DHARA DHEVI CAKE SHOP,/restaurants/dharadhevicakeshop-cm
Baan Piemsuk,/restaurants/cakebaanpiemsuk?_st=cD0xMDtiPTI3MDQ1O2FkPWZhbHNlO3Q9MTY4NTE5MzgyNzc5ODtyaT0xWDdha0t2cWZRWXFJeGxPR2FRVzJFVUYyWmpVY3o7aT0xWDcwRGVoUjZvOTQ3UWpyTDJXNlAyRGtnTzJQamQ7d3JlZj1zcjs%3D
Mooh Doughnuts,/restaurants/422068tD-mooh-doughnuts?_st=cD00O2I9NDIyMDY4O2FkPWZhbHNlO3Q9MTY4NTE5Mzg1NTgxMTtyaT0xWDdha0t2dUFacTQ5c2dFN0U5dzVLTDlDWmpQVms7aT0xWDcwRGVoVWVwVWdLSnhYVnZ1anE1eU5hNFA1YVk7d3JlZj1zcjs%3D
Dongmadame,/restaurants/228981da-dongmadame?_st=cD01O2I9MjI4OTgxO2FkPWZhbHNlO3Q9MTY4NTE5Mzg1NTg0MjtyaT0xWDdha0t2dUNRS3hkUDVWQk5XMGluY3BBaGhFWTg7aT0xWDcwRGVoVWVwVWdLSnhYVnZ1anE1eU5hNFA1YVk7d3JlZj1zcjs%3D
Asama Cafe,/restaurants/asamacafe?_st=cD02O2I9MTQxMjMyO2FkPWZhbHNlO3Q9MTY4NTE5Mzg1NTg1OTtyaT0xWDdha0t2dUF1MG53ZFk1ZXQ3REZ4cnVNVGJvRUw7aT0xWDcwRGVoVWVwVWdLSnhYVnZ1anE1eU5hNFA1YVk7d3JlZj1zcjs%3D
OB.B.b Cafe & Laundry,/restaurants/171979WT-ob-b-b-cafe-laundry?_st=cD03O2I9MTcxOTc5O2FkPWZhbHNlO3Q9MTY4NTE5Mzg1NTg3NjtyaT0xWDdha0t2dTdJSHViS3NYQ05Cc0dtVzlIM0F3MHM7aT0xWDcwRGVoVWVwVWdLSnhYVnZ1anE1eU5hNFA1YVk7d3JlZj1zcjs%3D
Pete Croissanterie,/restaurants/378307sU-pete-croissanterie?_st=cD04O2I9Mzc4MzA3O2FkPWZhbHNlO3Q9MTY4NTE5Mzg1NTg4MTtyaT0xWDdha0t2dTliUjJFY3VqUjlOMGZmdWk2Vlg2OGk7aT0xWDcwRGVoVWVwVWdLSnhYVnZ1anE1eU5hNFA1YVk7d3JlZj1zcjs%3D
Fern Forest Cafe,/restaurants/24545cg-fern-forest-cafe?_st=cD05O2I9MjQ1NDU7YWQ9ZmFsc2U7dD0xNjg1MTkzODU1ODkyO3JpPTFYN2FrS3Z1QUp1U2R6cHFEbzlZUE5lMW9lT1o3VjtpPTFYNzBEZWhVZXBVZ0tKeFhWdnVqcTV5TmE0UDVhWTt3cmVmPXNyOw%3D%3D
Saruda Finest Pastry,/restaurants/365335OC-saruda-finest-pastry?_st=cD0xMDtiPTM2NTMzNTthZD1mYWxzZTt0PTE2ODUxOTM4NTU5MTM7cmk9MVg3YWtLdnU5clE1bGI0MkIwOUlGa0xtdmt3WEZ0O2k9MVg3MERlaFVlcFVnS0p4WFZ2dWpxNXlOYTRQNWFZO3dyZWY9c3I7
Chez Nous Artisan Baking Atelier(สันกำแพง),/restaurants/301075Ud-chez-nous-artisan-baking-atelier-%E0%B8%AA%E0%B8%B1%E0%B8%99%E0%B8%81%E0%B8%B3%E0%B9%81%E0%B8%9E%E0%B8%87-chiangmai?_st=cD0xMTtiPTMwMTA3NTthZD1mYWxzZTt0PTE2ODUxOTM4NTU5MTU7cmk9MVg3YWtLdnVCYmZmM01vSTRtSFRURGhXa3hWRmlJO2k9MVg3MERlaFVlcFVnS0p4WFZ2dWpxNXlOYTRQNWFZO3dyZWY9c3I7
GROON,/restaurants/501989Gi-groon-%E0%B9%80%E0%B8%8A%E0%B8%B5%E0%B8%A2%E0%B8%87%E0%B9%83%E0%B8%AB%E0%B8%A1%E0%B9%88?_st=cD0xMjtiPTUwMTk4OTthZD1mYWxzZTt0PTE2ODUxOTM4NTU5MTk7cmk9MVg3YWtLdnU3Y2IzMW0za1hTbEpnYWRCbzhLTEVaO2k9MVg3MERlaFVlcFVnS0p4WFZ2dWpxNXlOYTRQNWFZO3dyZWY9c3I7
Khagee,/restaurants/khagee?_st=cD0xMztiPTEzODQzNjthZD1mYWxzZTt0PTE2ODUxOTM4NTU5MjQ7cmk9MVg3YWtLdnVCYXhzcmFZdEFQVnN6RHBHZWVvcGNXO2k9MVg3MERlaFVlcFVnS0p4WFZ2dWpxNXlOYTRQNWFZO3dyZWY9c3I7
Yelloo,/restaurants/490243gb-yelloo-nimman?_st=cD0xNDtiPTQ5MDI0MzthZD1mYWxzZTt0PTE2ODUxOTM4NTU5MjQ7cmk9MVg3YWtLdnU1YklySmlOYWtoNmNaSmRzN1NQVFd5O2k9MVg3MERlaFVlcFVnS0p4WFZ2dWpxNXlOYTRQNWFZO3dyZWY9c3I7
Forest Bake,/restaurants/248608dT-forest-bake?_st=cD0xNTtiPTI0ODYwODthZD1mYWxzZTt0PTE2ODUxOTM4NTU5MjQ7cmk9MVg3YWtLdnVCWGNYbmlrNm1MOUtDZWZtNEh1Q3hUO2k9MVg3MERlaFVlcFVnS0p4WFZ2dWpxNXlOYTRQNWFZO3dyZWY9c3I7
Cheevit Cheeva,/restaurants/cheevitcheeva?_st=cD0xNjtiPTIxMDA3MjthZD1mYWxzZTt0PTE2ODUxOTM4NTU5NDY7cmk9MVg3YWtLdnVDNHZTRVNTTnFoVGxqNTNlc2t1RVZXO2k9MVg3MERlaFVlcFVnS0p4WFZ2dWpxNXlOYTRQNWFZO3dyZWY9c3I7
Claai Cafe'& Eatery คลายคาเฟ่ แอนด์ อีทเทอรี่,/restaurants/478951MA-claai-cafe-eatery-%E0%B8%84%E0%B8%A5%E0%B8%B2%E0%B8%A2%E0%B8%84%E0%B8%B2%E0%B9%80%E0%B8%9F%E0%B9%88-%E0%B9%81%E0%B8%AD%E0%B8%99%E0%B8%94%E0%B9%8C-%E0%B8%AD%E0%B8%B5%E0%B8%97%E0%B9%80%E0%B8%97%E0%B8%AD%E0%B8%A3%E0%B8%B5%E0%B9%88?_st=cD0xNztiPTQ3ODk1MTthZD1mYWxzZTt0PTE2ODUxOTM4NTU5NDY7cmk9MVg3YWtLdnU4UzV5NUxJRkNNckFGWUkxR2xKUVR0O2k9MVg3MERlaFVlcFVnS0p4WFZ2dWpxNXlOYTRQNWFZO3dyZWY9c3I7
Caramellow café,/restaurants/358476bn-caramellow-caf%C3%A9?_st=cD0xODtiPTM1ODQ3NjthZD1mYWxzZTt0PTE2ODUxOTM4NTU5NDc7cmk9MVg3YWtLdnU4TUhpUEtGR2M5OTZSVVphYUM0WGtxO2k9MVg3MERlaFVlcFVnS0p4WFZ2dWpxNXlOYTRQNWFZO3dyZWY9c3I7
Koff&things,/restaurants/1355451aT-koff-things?_st=cD0xOTtiPTEzNTU0NTE7YWQ9ZmFsc2U7dD0xNjg1MTkzODU1OTQ3O3JpPTFYN2FrS3Z1NXJZWGxpN0VsTTU4WVFZaHZhRzZpUztpPTFYNzBEZWhVZXBVZ0tKeFhWdnVqcTV5TmE0UDVhWTt3cmVmPXNyOw%3D%3D
